Cliente_Id_Cliente,F,M
10723,1,248000.0
10760,1,279000.0
10786,2,590000.0
10847,4,1067000.0
10849,1,349000.0
10867,1,249000.0
10949,1,169000.0
10952,2,738000.0
10960,2,529000.0
10969,11,2100000.0
10974,2,496000.0
10989,1,149000.0
10992,2,590000.0
11010,3,1023000.0
11015,1,295000.0
11029,1,295000.0
11030,4,1216000.0
11070,2,778000.0
11091,1,149000.0
11111,1,149000.0
11120,2,446000.0
11140,5,1490000.0
11171,1,349000.0
11196,3,1387000.0
11213,3,832000.0
11256,3,559000.0
11274,2,468000.0
11286,2,325000.0
11323,2,574000.0
11457,1,220000.0
11501,9,2680000.0
11516,2,558000.0
11579,2,644000.0
11607,2,628000.0
11638,1,349000.0
11698,1,149000.0
11739,6,1592000.0
11779,1,149000.0
11802,3,826000.0
11810,3,753000.0
11821,2,458000.0
11829,4,1218000.0
11858,2,362000.0
11888,1,279000.0
11906,1,89000.0
11952,2,574000.0
11971,5,806000.0
11989,3,675000.0
11992,17,2355000.0
12038,12,1956000.0
12045,1,149000.0
12128,1,279000.0
12134,1,349000.0
12165,2,388000.0
12278,1,150000.0
12279,1,198000.0
12286,2,499000.0
12301,3,577000.0
12353,3,795000.0
12447,1,149000.0
12497,2,207370.0
12501,1,279000.0
12519,2,498000.0
12527,1,295000.0
12549,2,544000.0
12568,1,295000.0
12594,1,198000.0
12618,3,447000.0
12682,1,349000.0
12730,2,493000.0
12739,1,249000.0
12792,1,349000.0
12801,3,879000.0
12880,2,298000.0
12888,1,249000.0
12957,1,149000.0
12984,2,590000.0
13037,2,393000.0
13091,3,792000.0
13142,1,219000.0
13172,2,298000.0
13228,5,1260000.0
13236,3,838000.0
13267,4,905000.0
13338,2,528000.0
13406,3,807000.0
13422,2,164330.0
13430,1,149000.0
13444,5,1316000.0
13456,1,279000.0
13498,3,889000.0
13521,3,847000.0
13528,1,149000.0
13629,1,249000.0
13701,1,149000.0
13720,1,250000.0
13765,1,349000.0
13783,1,239000.0
13818,4,872000.0
13832,5,1283000.0
13839,2,155000.0
13840,2,528000.0
13843,2,428000.0
13850,4,1164000.0
13861,1,295000.0
13899,7,1863000.0
13906,3,367000.0
13946,5,1429000.0
13953,1,248000.0
13978,4,1021000.0
14002,2,590000.0
14024,3,1293000.0
14083,1,149000.0
14107,2,590000.0
14190,1,279000.0
14233,5,1223000.0
14324,3,979000.0
14352,1,149000.0
14426,1,295000.0
14446,2,590000.0
14551,1,295000.0
14587,5,1091000.0
14609,4,584000.0
14685,2,493000.0
14714,1,279000.0
14725,1,476000.0
14766,1,279000.0
14768,7,1813000.0
14769,6,1338000.0
14785,2,158360.0
14798,1,295000.0
14801,2,493000.0
14832,4,1072000.0
14852,2,590000.0
14885,1,295000.0
14907,1,149000.0
14913,2,544000.0
14987,1,279000.0
14996,1,198000.0
15030,1,295000.0
15045,1,198000.0
15048,6,1501000.0
15091,6,1572000.0
15130,1,229000.0
15153,2,528000.0
15167,2,444000.0
15173,1,249000.0
15222,2,558000.0
15224,1,295000.0
15271,9,2883000.0
15273,1,295000.0
15297,2,298000.0
15325,1,349000.0
15329,2,309960.0
15359,5,1182000.0
15393,1,279000.0
15412,2,446000.0
15452,1,149000.0
15594,1,250000.0
15613,2,590000.0
15657,3,545000.0
15683,2,909000.0
15691,1,295000.0
15701,2,488000.0
15767,2,597000.0
15777,1,289000.0
15795,1,295000.0
15806,1,295000.0
15809,2,590000.0
15854,1,249000.0
15864,3,589000.0
15867,1,295000.0
15872,4,799000.0
15913,18,3816400.0
15921,1,149000.0
15928,1,198400.0
15941,1,249000.0
15959,1,149000.0
16086,1,150000.0
16087,3,635000.0
16102,3,837000.0
16116,1,295000.0
16189,2,440000.0
16196,2,144000.0
16250,2,208000.0
16258,2,298000.0
16262,4,1156000.0
16270,1,198000.0
16287,4,597000.0
16423,5,585000.0
16465,3,788000.0
16468,1,149000.0
16474,2,590000.0
16493,3,651000.0
16504,2,428000.0
16522,1,149000.0
16588,6,1510000.0
16638,2,444000.0
16722,1,295000.0
16767,1,295000.0
16921,9,1581000.0
16960,1,198000.0
16978,2,298000.0
17018,1,179000.0
17055,2,164000.0
17080,1,149000.0
17232,1,279000.0
17255,4,748000.0
17313,3,513000.0
17322,13,2753000.0
17334,1,249000.0
17351,3,307080.0
17359,2,417000.0
17409,8,1469900.0
17453,5,1188000.0
17479,2,328000.0
17586,1,349000.0
17588,1,230000.0
17592,4,616000.0
17594,4,873000.0
17614,1,389000.0
17644,3,696000.0
17650,3,233440.0
17724,1,149000.0
17734,1,149000.0
17741,2,444000.0
17744,1,209000.0
17754,2,164440.0
17791,1,198000.0
17793,2,315000.0
17830,1,279000.0
17846,1,250000.0
17896,2,498000.0
17908,2,543000.0
17950,1,298000.0
17970,1,248000.0
17998,1,198000.0
18009,4,521000.0
18012,1,198000.0
18023,3,777000.0
18028,2,212540.0
18037,4,531190.0
18096,1,198000.0
18118,1,150000.0
18149,2,398000.0
18167,1,279000.0
18200,1,349000.0
18239,1,248000.0
18293,1,198000.0
18309,1,219000.0
18326,2,298000.0
18332,3,590000.0
18358,3,823000.0
18374,3,676000.0
18391,4,468000.0
18406,4,1588000.0
18427,2,698000.0
18494,1,198000.0
18515,2,498000.0
18529,2,304000.0
18559,2,218000.0
18560,1,279000.0
18580,2,447000.0
18612,3,447000.0
18658,1,149000.0
18673,2,218000.0
18684,4,461000.0
18686,3,777000.0
18875,1,149000.0
18897,4,661000.0
18929,2,498000.0
18944,1,279000.0
18952,2,638000.0
18991,7,1737880.0
19011,5,1316000.0
19024,3,740000.0
19038,3,766000.0
19083,1,349000.0
19090,5,1184000.0
19094,1,279000.0
19113,2,328000.0
19121,1,295000.0
19123,2,446000.0
19161,3,977000.0
19193,2,446000.0
19206,8,2210000.0
19211,2,155000.0
19228,2,527000.0
19244,2,493000.0
19258,1,248000.0
19265,1,295000.0
19273,1,279000.0
19279,3,635000.0
19283,5,1084000.0
19286,2,397000.0
19307,1,295000.0
19308,2,422000.0
19332,12,2032000.0
19339,3,340000.0
19341,5,907000.0
19349,1,279000.0
19353,2,558000.0
19362,3,447000.0
19424,1,349000.0
19434,1,295000.0
19437,1,198000.0
19459,1,149000.0
19480,3,644000.0
19482,2,547000.0
19560,2,358000.0
19581,1,198000.0
19584,2,163960.0
19629,2,239000.0
19644,15,3909000.0
19658,1,349000.0
19662,2,158080.0
19673,2,493000.0
19690,4,594000.0
19699,2,527000.0
19702,2,253960.0
19741,1,149000.0
19758,1,198000.0
19794,2,547000.0
19834,2,400000.0
19866,3,806000.0
19883,2,417000.0
19920,1,149000.0
19942,1,279000.0
19950,1,349000.0
19957,1,349000.0
20019,2,477000.0
20034,1,169000.0
20046,1,279000.0
20058,1,198000.0
20072,1,198000.0
20125,4,1216000.0
20171,3,839000.0
20199,1,394000.0
20210,2,319000.0
20222,8,1992000.0
20230,2,558000.0
20248,2,172860.0
20256,2,254440.0
20258,1,149000.0
20265,1,198000.0
20276,1,149000.0
20307,1,279000.0
20309,3,153440.0
20311,1,248000.0
20316,3,333440.0
20324,1,349000.0
20329,1,149000.0
20349,1,149000.0
20382,1,279000.0
20396,1,279000.0
20412,2,298000.0
20416,3,306000.0
20461,3,826000.0
20563,12,3656000.0
20617,1,295000.0
20626,3,792000.0
20629,1,349000.0
20678,1,295000.0
20691,5,994000.0
20765,4,864000.0
20768,1,295000.0
20796,1,349000.0
20809,2,496000.0
20837,1,295000.0
20843,1,349000.0
20915,3,577000.0
20925,2,161000.0
20979,2,298000.0
20980,2,628000.0
21005,3,853000.0
21009,2,298000.0
21021,1,279000.0
21026,1,349000.0
21053,1,295000.0
21071,2,527000.0
21113,6,1248450.0
21135,2,178000.0
21156,2,528000.0
21176,2,164000.0
21215,1,248000.0
21266,2,544000.0
21285,1,279000.0
21293,1,149000.0
21354,1,149000.0
21359,1,295000.0
21367,2,396000.0
21368,3,577000.0
21377,1,349000.0
21390,3,562000.0
21415,2,467000.0
21431,3,577000.0
21451,1,249000.0
21452,1,149000.0
21475,3,537000.0
21504,2,698000.0
21517,2,164440.0
21549,3,887000.0
21555,2,496000.0
21619,2,298000.0
21634,4,1134000.0
21637,1,149000.0
21652,1,89000.0
21662,2,347000.0
21680,1,295000.0
21684,8,1784000.0
21707,1,149000.0
21731,2,496000.0
21843,2,350000.0
21863,1,149000.0
21865,1,20000.0
21888,1,198000.0
21905,1,149000.0
21947,1,50000.0
21976,1,295000.0
22050,1,248000.0
22056,2,493000.0
22076,2,347000.0
22118,8,2188900.0
22140,1,149000.0
22148,2,164440.0
22181,1,295000.0
22195,2,298000.0
22213,1,250750.0
22276,3,642000.0
22287,1,149000.0
22343,2,396000.0
22355,2,528000.0
22365,2,398000.0
22367,1,389000.0
22390,1,279000.0
22393,3,572960.0
22432,1,240000.0
22556,1,279000.0
22569,1,149000.0
22587,1,169000.0
22601,1,149000.0
22659,1,279000.0
22676,3,399900.0
22683,2,428000.0
22705,7,1751000.0
22747,2,298000.0
22752,1,349000.0
22840,2,547000.0
22871,1,349000.0
22890,3,723000.0
22914,1,295000.0
22928,2,366000.0
22936,5,1043500.0
22937,9,1900000.0
22959,2,498000.0
23005,1,349000.0
23010,2,477000.0
23018,2,528000.0
23037,1,298000.0
23042,7,1609000.0
23058,3,939000.0
23061,6,752460.0
23075,2,558000.0
23083,3,507000.0
23090,1,149000.0
23099,5,745000.0
23115,1,295000.0
23132,2,497000.0
23150,4,940000.0
23163,1,295000.0
23198,3,595000.0
23219,4,1796000.0
23256,5,1481000.0
23266,1,279000.0
23267,1,198000.0
23269,2,187570.0
23288,3,791000.0
23308,3,741000.0
23329,2,544000.0
23348,3,696000.0
23355,2,493000.0
23376,8,1958000.0
23413,3,656000.0
23455,3,400000.0
23498,1,219000.0
23514,3,839000.0
23585,1,149000.0
23592,4,1056000.0
23611,1,198000.0
23624,2,295000.0
23628,1,295000.0
23641,6,1035000.0
23644,1,149000.0
23671,2,240000.0
23717,2,298000.0
23733,1,279000.0
23738,2,300000.0
23741,2,215000.0
23747,1,149000.0
23760,1,169000.0
23777,6,1358000.0
23814,2,678000.0
23820,1,295000.0
23847,11,2795000.0
23855,1,219000.0
23879,3,362000.0
23881,4,716000.0
23897,1,198000.0
23920,3,837000.0
23922,4,1137000.0
23940,4,1179000.0
23949,1,149000.0
23966,2,298000.0
23974,1,279000.0
23982,4,1083000.0
23995,2,224500.0
24006,1,279000.0
24010,3,880000.0
24046,3,513000.0
24047,3,1047000.0
24052,2,444000.0
24095,2,496000.0
24111,2,446000.0
24132,2,428000.0
24163,2,477000.0
24198,6,1154000.0
24208,2,458000.0
24218,1,198000.0
24307,2,518000.0
24318,1,149000.0
24340,3,133280.0
24344,1,219000.0
24358,1,389000.0
24364,1,169000.0
24365,3,299000.0
24423,1,179000.0
24435,2,628000.0
24471,2,158000.0
24493,3,443500.0
24503,1,198000.0
24515,8,2178000.0
24533,2,544000.0
24535,2,474000.0
24545,2,398000.0
24553,3,447000.0
24564,1,295000.0
24575,1,149000.0
24577,8,866000.0
24584,3,296800.0
24598,13,1475600.0
24654,1,149000.0
24691,1,295000.0
24697,3,675000.0
24716,1,349000.0
24723,4,971000.0
24734,2,493000.0
24742,3,450000.0
24745,4,832000.0
24758,2,477000.0
24762,1,198000.0
24773,2,160000.0
24778,1,149000.0
24792,1,149000.0
24798,3,411440.0
24814,3,307370.0
24815,5,1283000.0
24818,1,249000.0
24826,2,347000.0
24844,9,2686000.0
24866,1,279000.0
24881,1,279000.0
24901,1,289000.0
24908,3,535320.0
24919,2,438000.0
25002,4,1113000.0
25008,7,1009000.0
25016,1,149000.0
25021,2,544000.0
25025,2,298000.0
25034,2,298000.0
25037,2,590000.0
25047,1,219000.0
25058,2,347000.0
25081,2,158370.0
25085,1,279000.0
25105,3,313330.0
25107,3,516000.0
25110,1,279000.0
25144,3,829000.0
25164,1,295000.0
25176,2,389000.0
25199,1,349000.0
25208,3,739000.0
25344,1,198000.0
25369,4,449000.0
25376,1,198000.0
25386,1,149000.0
25390,2,347000.0
25392,1,149000.0
25430,2,362250.0
25459,1,249000.0
25462,3,595000.0
25470,1,143200.0
25484,2,498000.0
25486,1,169000.0
25508,10,2808000.0
25531,1,179000.0
25557,1,150000.0
25572,8,442000.0
25592,2,159000.0
25634,3,772000.0
25645,5,390960.0
25650,1,149000.0
25655,1,349000.0
25700,1,349000.0
25719,4,775000.0
25727,1,149000.0
25738,1,279000.0
25768,1,56000.0
25785,1,149000.0
25792,1,295000.0
25798,1,349000.0
25802,5,1070000.0
25823,6,1143000.0
25832,3,447000.0
25833,2,298000.0
25839,3,693000.0
25843,2,447000.0
25850,1,295000.0
25856,2,474000.0
25864,2,300000.0
25876,1,295000.0
25928,2,574000.0
25947,4,555550.0
25948,1,248000.0
25949,1,239000.0
25950,2,628000.0
25951,1,149000.0
25952,3,869000.0
25953,2,897000.0
25954,3,375320.0
25955,1,149000.0
25956,2,212810.0
25957,2,590000.0
25958,1,169000.0
25959,1,149000.0
25960,1,279000.0
25961,2,348000.0
25962,1,198000.0
25963,1,195000.0
25964,3,783000.0
25965,3,777000.0
25966,2,388000.0
25967,1,295000.0
25968,2,544000.0
25969,1,248000.0
25970,1,295000.0
25971,1,279000.0
25972,2,628000.0
25973,1,119000.0
25974,1,349000.0
25975,1,295000.0
25976,1,120000.0
25977,4,996000.0
25978,2,212960.0
25979,2,212960.0
25980,1,149000.0
25981,1,198000.0
25982,1,295000.0
25983,5,1072000.0
25984,2,164440.0
25986,5,615000.0
25987,1,149000.0
25988,3,758000.0
25989,8,1196000.0
25990,2,155000.0
25991,2,256320.0
25992,1,295000.0
25993,2,347000.0
25994,1,198000.0
25995,1,149000.0
25996,1,198000.0
25997,2,738000.0
25998,2,444000.0
25999,2,388000.0
26000,2,396000.0
26001,3,594000.0
26002,8,2246000.0
26003,1,149000.0
26004,1,149000.0
26005,2,590000.0
26006,2,447000.0
26007,4,1180000.0
26008,2,498000.0
26009,2,310000.0
26010,1,248000.0
26011,5,1466000.0
